Product,Platform,Price,Rating,Delivery,Seller,Link
iPhone 16,Amazon,79999,4.8,1 Day,Appario,https://amazon.in
iPhone 16,Flipkart,78999,4.5,3 Days,SuperComNet,https://flipkart.com
iPhone 16,Croma,80999,4.6,2 Days,Croma,https://croma.com

MacBook Air M4,Amazon,91999,4.9,1 Day,Apple Store,https://amazon.in
MacBook Air M4,Flipkart,90999,4.4,4 Days,RetailNet,https://flipkart.com
MacBook Air M4,Croma,92999,4.7,2 Days,Croma,https://croma.com

Samsung S25,Amazon,69999,4.7,1 Day,Samsung India,https://amazon.in
Samsung S25,Flipkart,68999,4.5,2 Days,SuperComNet,https://flipkart.com
Samsung S25,Croma,70999,4.6,2 Days,Croma,https://croma.com

OnePlus 13,Amazon,64999,4.6,1 Day,OnePlus India,https://amazon.in
OnePlus 13,Flipkart,63999,4.5,2 Days,RetailNet,https://flipkart.com
OnePlus 13,Croma,65999,4.4,3 Days,Croma,https://croma.com

Sony WH-1000XM6,Amazon,29999,4.8,1 Day,Sony India,https://amazon.in
Sony WH-1000XM6,Flipkart,29499,4.6,3 Days,RetailNet,https://flipkart.com
Sony WH-1000XM6,Croma,30499,4.7,2 Days,Croma,https://croma.com
